shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
HRV,76.5,1.2000000476837158,0.5011110901832581,21.899999618530273,0.0,0.0,NaN,0.0,8.418477058410645,NaN,NaN
HTI,82.5999984741211,0.0,0.21111111342906952,4.600001335144043,0.0,1.0,3.7272727489471436,1.0,7.146772384643555,4.867534637451172,1.0
HUN,53.900001525878906,0.0,0.5222222208976746,24.499998092651367,0.0,0.0,9.0,0.0,8.809863090515137,NaN,NaN
IDN,2.700000047683716,43.400001525878906,0.05559999868273735,49.099998474121094,0.0,0.0,7.590909004211426,1.0,8.070905685424805,5.135798454284668,1.0
IND,1.2999999523162842,11.600000381469727,0.22220000624656677,86.0,1.0,0.0,8.272727012634277,0.0,7.326000213623047,3.8842406272888184,1.0
IRL,95.30000305175781,0.0,0.5888888835906982,3.599997043609619,1.0,0.0,9.727272987365723,0.0,9.769384384155273,NaN,NaN
IRN,0.10000000149011612,97.9000015258789,0.35555556416511536,1.9999984502792358,0.0,0.0,4.7727274894714355,1.0,8.605203628540039,NaN,NaN
IRQ,1.7999999523162842,95.80000305175781,0.36666667461395264,2.3999969959259033,1.0,0.0,1.6363636255264282,1.0,NaN,NaN,NaN
ISL,0.699999988079071,0.0,0.7222222089767456,2.7000014781951904,0.0,0.0,9.727272987365723,0.0,9.943669319152832,NaN,NaN
ISR,1.0,8.0,0.347777783870697,90.80000305175781,1.0,0.0,8.545454978942871,0.0,9.784140586853027,NaN,NaN
ITA,83.19999694824219,0.10000000149011612,0.4722222089767456,16.300003051757812,0.0,0.0,9.454545021057129,1.0,9.897972106933594,NaN,NaN
JAM,9.600000381469727,0.10000000149011612,0.2016666680574417,34.79999923706055,1.0,0.0,7.090909004211426,0.0,8.188689231872559,4.867534637451172,1.0
JOR,1.7000000476837158,93.0,0.3444444537162781,5.0,1.0,0.0,6.7727274894714355,1.0,8.171881675720215,NaN,NaN
JPN,0.6000000238418579,0.0,0.4000000059604645,98.5,0.0,0.0,9.727272987365723,0.0,10.034076690673828,NaN,NaN
KAZ,3.0,47.0,0.5333333611488342,48.0,0.0,0.0,NaN,0.0,8.13153076171875,NaN,NaN
KEN,26.399999618530273,6.0,0.011111111380159855,48.30000305175781,1.0,0.0,6.045454502105713,0.0,7.056175231933594,4.976733684539795,1.0
KGZ,0.0,70.0,0.4555555582046509,30.0,0.0,0.0,NaN,0.0,7.575584888458252,NaN,NaN
KOR,3.9000000953674316,0.0,0.41111111640930176,83.9000015258789,0.0,0.0,8.636363983154297,0.0,9.415727615356445,4.770684719085693,NaN
KWT,2.0999999046325684,95.0999984741211,0.3255555331707001,2.7000017166137695,1.0,0.0,7.045454502105713,1.0,9.803667068481445,NaN,NaN
LAO,0.800000011920929,1.0,0.20000000298023224,98.0,0.0,1.0,NaN,1.0,7.090076923370361,4.9416422843933105,NaN
LBR,1.899999976158142,21.200000762939453,0.07000000029802322,58.29999923706055,0.0,0.0,3.6363637447357178,0.0,NaN,6.18001651763916,NaN
LBY,0.20000000298023224,98.0999984741211,0.2777777910232544,1.600001573562622,0.0,0.0,5.2727274894714355,1.0,NaN,NaN,NaN
