name,herf,lenper,hsdrop_w,hsgrad_w,somecoll_w,collgrad_w,hsdrop_b,hsgrad_b,somecoll_b,collgrad_b,povrate_w,povrate_b,mt1proom_w,mt1proom_b,medgrent_w,medgrent_b,medgrentpinc_w,medgrentpinc_b,area1910,passpc,ngov62,manshr,incseg,closeness,regdum1,regdum2,regdum3,regdum4,ethseg10,ethiso10,ethexp10,count1910,black1910,ctyliterate1920,lfp1920,ctytrade_wkrs1920,ctymanuf_wkrs1920,ctyrail_wkrs1920,count1920,black1920,gini_w,gini_b,p10_w,p50_w,p90_w,p10_b,p50_b,p90_b,grsrnt_w,grsrnt_b,lngini_w,lngini_b,herfscore,ln90w90b,ln10w10b,ln90w10b,ln90b10w,mv_st_winus_w,mv_st_winus_b,lfp_w,lfp_b,dism1990,pop1990,pctbk1990
binghany,0.7112908363342285,0.0010320170549675822,0.1540060043334961,0.3428327739238739,0.28556451201438904,0.21759670972824097,0.2878120541572571,0.2290748953819275,0.27430248260498047,0.20881056785583496,0.10216780006885529,0.4039057791233063,0.010987621732056141,0.05725806578993797,463.0,472.0,25.899999618530273,31.299999237060547,5913.60009765625,NaN,NaN,0.2704446017742157,NaN,-179.52999877929688,1.0,0.0,0.0,0.0,NaN,NaN,NaN,793.0,0.022687850520014763,0.9814231991767883,0.4092410206794739,0.009264355525374413,0.4909190833568573,0.0,1219.0,0.008208845742046833,0.3984871804714203,0.45922040939331055,7767.0,28774.0,65650.0,4215.0,20375.0,62442.0,405.6514892578125,420.8559875488281,-0.9200799465179443,-0.7782250046730042,0.6524915939625409,0.05009947344660759,0.6112344264984131,2.745687961578369,2.0843541622161865,0.0496993325650692,0.06657042354345322,0.6204077005386353,0.6068810820579529,0.5162482857704163,264497.0,0.01587541587650776
bloomiin,0.7420244216918945,5.135356914252043e-4,0.11911805719137192,0.27154025435447693,0.2270631194114685,0.38227856159210205,0.07052096724510193,0.2293519675731659,0.332274466753006,0.3678525984287262,0.1738351434469223,0.30596214532852173,0.014804469421505928,0.034134987741708755,562.0,559.0,32.79999923706055,36.5,NaN,NaN,NaN,0.1345977932214737,NaN,-78.7699966430664,0.0,1.0,0.0,0.0,NaN,NaN,NaN,215.0,0.0,0.9491161704063416,0.4572767913341522,0.09532798826694489,0.09532798826694489,0.0,204.0,0.0,0.44067031145095825,0.49264827370643616,5736.0,24410.0,61867.0,2e3,13387.0,48e3,437.9224853515625,361.9555969238281,-0.8194583058357239,-0.707959771156311,0.44661706264018564,0.2537859082221985,1.0536149740219116,3.43183970451355,2.124439001083374,0.1434616595506668,0.17245472967624664,0.6476483345031738,0.6514108777046204,0.3545885980129242,108978.0,0.025381268933415413
boiseid,0.5626182556152344,2.9715991695411503e-4,0.11442017555236816,0.25479453802108765,0.3577447831630707,0.2730405032634735,0.19508057832717896,0.12722645699977875,0.41475826501846313,0.26293468475341797,0.07874906063079834,0.18239299952983856,0.03332992270588875,0.1109510064125061,601.0,585.0,25.799999237060547,31.5,NaN,NaN,NaN,0.14969879388809204,NaN,-861.3699951171875,0.0,0.0,0.0,1.0,NaN,NaN,NaN,306.0,0.0,0.989240825176239,0.4938531219959259,0.035739559680223465,0.12508846819400787,0.0,363.0,0.0,0.40629562735557556,0.28022876381874084,8900.0,3e4,67974.0,12846.0,35e3,58500.0,419.5857849121094,459.7778015136719,-0.9006742238998413,-1.2721489667892456,0.4165886394050974,0.150098517537117,-0.3669812083244324,1.6660927534103394,1.882975459098816,0.15919557213783264,0.26979324221611023,0.7030419111251831,0.6682528853416443,0.356505423784256,205775.0,0.0056420848704874516
bouldeco,0.49846625328063965,3.145633963868022e-4,0.05372367799282074,0.14992929995059967,0.25849491357803345,0.5378521084785461,0.08459869772195816,0.1460592895746231,0.319595068693161,0.4497469365596771,0.08342952281236649,0.17072051763534546,0.022570353001356125,0.10856453329324722,845.0,867.0,29.100000381469727,31.899999618530273,NaN,NaN,NaN,NaN,NaN,-282.9200134277344,0.0,0.0,0.0,1.0,NaN,NaN,NaN,258.0,0.0,0.9705551862716675,0.46230456233024597,0.40763863921165466,0.25927287340164185,0.0,293.0,0.0,0.4511500298976898,0.35579603910446167,7680.0,31435.0,88e3,3200.0,32107.0,66856.0,573.81097412109375,552.2470703125,-0.7959553599357605,-1.0333976745605469,0.5153037467571979,0.2747957706451416,0.8754687309265137,3.3141860961914062,2.163921594619751,0.21230266988277435,0.28735631704330444,0.7349530458450317,0.7596454620361328,0.36774981021881104,225339.0,0.006874087266623974
bridgect,0.6011221408843994,3.2632812508381903e-4,0.3239462375640869,0.3168260455131531,0.20806042850017548,0.15116730332374573,0.3176586329936981,0.3361430764198303,0.25741302967071533,0.08878524601459503,0.15132753551006317,0.19202205538749695,0.04443419352173805,0.0786084309220314,680.0,647.0,28.100000381469727,28.799999237060547,7906.0,NaN,8.0,0.1432974934577942,0.21818730235099792,-170.61000061035156,1.0,0.0,0.0,0.0,0.26216328144073486,0.01944945752620697,0.056107766926288605,2516.0,0.009940546937286854,0.9358035922050476,0.3830002546310425,0.013569341041147709,0.5695092678070068,0.0,3197.0,0.012172900140285492,0.4116221070289612,0.42102548480033875,8500.0,39e3,88689.0,5252.0,27e3,7e4,627.14349365234375,548.1527099609375,-0.8876495957374573,-0.8650619387626648,0.41620077130487276,0.23664063215255737,0.4814572036266327,2.8265268802642822,2.108429193496704,0.06053619086742401,0.05876670777797699,0.5812627077102661,0.6503284573554993,0.6754592657089233,443722.0,0.1030014306306839
brocktma,0.35263174772262573,1.8740147061180323e-4,0.10444263368844986,0.3095718324184418,0.29590028524398804,0.29008522629737854,0.23532938957214355,0.3120020627975464,0.2924697995185852,0.16019874811172485,0.05103793740272522,0.21401382982730865,0.011867026798427105,0.08186091482639313,687.0,661.0,25.399999618530273,27.600000381469727,13798.400390625,NaN,10.0,0.17444659769535065,0.15852420032024384,-296.79998779296875,1.0,0.0,0.0,0.0,0.5239834189414978,0.16070398688316345,0.1235809177160263,1485.0,0.01143969688564539,0.9668201208114624,0.37395715713500977,0.008553522638976574,0.598238468170166,0.0,1602.0,0.01308928057551384,0.39909252524375916,0.3571707308292389,6756.0,33280.0,75e3,6e3,25600.0,58e3,526.7791748046875,610.28692626953125,-0.9185619950294495,-1.0295413732528687,0.5578878990342687,0.25704509019851685,0.11867152899503708,2.525728702545166,2.1500120162963867,0.040023885667324066,0.04654235020279884,0.6893225908279419,0.6244778037071228,0.49018487334251404,189478.0,0.07267334312200546
buffalny,0.7260318994522095,0.002366218715906143,0.15149523317813873,0.30497026443481445,0.28485819697380066,0.25867632031440735,0.29095104336738586,0.28546810150146484,0.3090660572052002,0.1145147979259491,0.07813715189695358,0.33088865876197815,0.010747906751930714,0.04014560207724571,535.0,458.0,26.399999618530273,33.900001525878906,24791.0,175.8072967529297,43.0,0.1878563016653061,0.2318686991930008,-228.89999389648438,1.0,0.0,0.0,0.0,0.5191370248794556,0.04327631741762161,0.06423904746770859,5149.0,0.0052383700385689735,0.9543290734291077,0.4286728799343109,0.01481348741799593,0.6858856081962585,0.0,6383.0,0.0037613653112202883,0.4062419533729553,0.5011960864067078,7358.0,29596.0,67892.0,2808.0,13500.0,45e3,398.1231994628906,345.1636962890625,-0.9008063673973083,-0.6907578706741333,0.48994863541884676,0.41125571727752686,0.9633156657218933,3.185445785522461,1.810874342918396,0.032826125621795654,0.034428920596838,0.6366323828697205,0.5500363111495972,0.8069586157798767,968532.0,0.11323115974664688
burlinvt,0.7353342771530151,6.740263197571039e-4,0.10098902881145477,0.263396292924881,0.2633480131626129,0.37226665019989014,0.1599999964237213,0.18518517911434174,0.28148147463798523,0.3733333349227905,0.0816958025097847,0.2237609326839447,0.013604248873889446,0.0665280669927597,645.0,558.0,27.0,29.399999618530273,NaN,NaN,NaN,0.12921960651874542,NaN,-358.3999938964844,1.0,0.0,0.0,0.0,NaN,NaN,NaN,378.0,0.013196442276239395,0.9640005826950073,0.4325089454650879,0.03032122552394867,0.4545181691646576,0.0,324.0,0.0,0.3784741759300232,0.34566500782966614,1e4,35744.0,75775.0,7400.0,29e3,53e3,546.51312255859375,658.02032470703125,-0.9716074466705322,-1.0622851848602295,0.4638295409426833,0.35747650265693665,0.3011050820350647,2.3262884616851807,1.667706847190857,0.1409996896982193,0.22863741219043732,0.7242426872253418,0.6445595622062683,0.3856792151927948,131441.0,0.007942726835608482
cantonoh,0.9082971215248108,9.453259990550578e-4,0.16011425852775574,0.4241662919521332,0.23695626854896545,0.17876316606998444,0.2724582254886627,0.4014205038547516,0.25595158338546753,0.07016967236995697,0.07665970921516418,0.28127387166023254,0.010061418637633324,0.027353178709745407,490.0,414.0,23.200000762939453,24.600000381469727,5929.0,NaN,55.0,0.2721056044101715,0.19634799659252167,-50.0,0.0,1.0,0.0,0.0,0.4117678701877594,0.09377259016036987,0.1575324833393097,1218.0,0.004911591298878193,0.9588738083839417,0.40710675716400146,0.054962996393442154,0.6300609707832336,0.0,1698.0,0.018843481317162514,0.3909338414669037,0.46764838695526123,7762.0,28200.0,60999.0,3200.0,17616.0,47400.0,372.7213134765625,285.1824951171875,-0.9392169117927551,-0.7600385546684265,0.6213855622930055,0.2522352337837219,0.8860892057418823,2.947706699371338,1.8093822002410889,0.03865612670779228,0.04457096382975578,0.641890823841095,0.5997013449668884,0.6364413499832153,394106.0,0.0628155842423439
champail,0.674888551235199,0.001254492555744946,0.07473891973495483,0.25327253341674805,0.2937701642513275,0.3782183825969696,0.21241293847560883,0.27089306712150574,0.35088077187538147,0.16581319272518158,0.12088146805763245,0.3040332496166229,0.014053434133529663,0.060312628746032715,549.0,518.0,28.600000381469727,32.099998474121094,NaN,NaN,51.0,0.10172879695892334,0.2465524971485138,-212.0,0.0,1.0,0.0,0.0,NaN,NaN,NaN,557.0,0.012535368092358112,0.9894453287124634,0.5205185413360596,0.0,0.35363054275512695,0.0,598.0,0.01497730240225792,0.41194647550582886,0.4532812833786011,7180.0,28112.0,64600.0,3750.0,15380.0,47869.0,450.8315124511719,396.0526123046875,-0.8868618607521057,-0.7912424206733704,0.7072399338233866,0.2997463047504425,0.6495435237884521,2.846458673477173,1.897168755531311,0.08003149926662445,0.08161929249763489,0.6892268061637878,0.6693258285522461,0.4419974386692047,173025.0,0.09600924700498581
